Country,Continent,Life expectancy in 2015,Per capita income,Population
Afghanistan,ASIA,61.726,700,31056997
Albania,EUROPE,77.807,4500,3581655
Algeria,AFRICA,71.246,6000,32930091
Angola,AFRICA,52.698,1900,57794
Antigua & Barbuda,LATIN AMERICA,76.297,11000,
Argentina,LATIN AMERICA,76.661,11200,39921833
Armenia,ASIA,74.78,3500,2976372
Aruba,LATIN AMERICA,75.718,28000,71891
Australia,OCEANIA,82.767,29000,20264082
Austria,EUROPE,81.46,30000,8192880
Azerbaijan,ASIA,70.916,3400,7961619
Bahamas,LATIN AMERICA,75.553,16700,303770
Bahrain,ASIA,76.88,16900,698585
Bangladesh,ASIA,71.435,1900,147365352
Barbados,LATIN AMERICA,75.699,15700,279912
Belarus,EUROPE,70.144,6100,10293011
Belgium,EUROPE,80.886,29100,10379067
Belize,LATIN AMERICA,74.3,4900,287730
Benin,AFRICA,59.664,1100,7862944
Bhutan,ASIA,69.079,1300,2279723
Bolivia,LATIN AMERICA,67.813,2400,8989046
Bosnia & Herzegovina,EUROPE,76.69,6100,4498976
Botswana,AFRICA,48.669,9000,1639833
Brazil,LATIN AMERICA,74.468,7600,188078227
Brunei,ASIA,78.937,18600,379444
Bulgaria,EUROPE,78.937,7600,7385367
Burkina Faso,AFRICA,78.937,1100,13902972
Burundi,AFRICA,54.953,600,8090068
Cambodia,ASIA,72.596,1900,13881427
Cameroon,AFRICA,55.958,1800,17340702
Canada,AMERICA,81.778,29800,33098932
Cape Verde,AFRICA,75.711,1400,420979
Central African Rep.,AFRICA,51.412,1100,4303356
Chad,AFRICA,52.058,1200,9944201
Chile,LATIN AMERICA,80.457,9900,16134219
China,ASIA,75.636,5000,1313973713
Colombia,LATIN AMERICA,74.443,6300,43593035
Comoros,AFRICA,61.288,700,690948
"Congo,Dem. Rep.",AFRICA,50.581,700,62660551
"Congo,Repub. of the",AFRICA,59.598,700,3702314
Costa Rica,LATIN AMERICA,80.355,9100,4075261
Cote d'Ivoire,AFRICA,80.355,1400,17654843
Croatia,EUROPE,80.355,10600,4494749
Cuba,LATIN AMERICA,80.355,2900,11382820
Cyprus,ASIA,80.174,19200,784301
Czech Republic,EUROPE,77.979,15700,10235455
Denmark,EUROPE,79.671,31100,5450661
Djibouti,AFRICA,62.688,1300,486530
Dominican Republic,LATIN AMERICA,73.838,6000,9183984
Ecuador,LATIN AMERICA,76.999,3300,13547510
Egypt,AFRICA,71.586,4000,78887007
El Salvador,LATIN AMERICA,73.064,4800,6822378
Equatorial Guinea,AFRICA,53.972,2700,540109
Eritrea,AFRICA,63.875,700,4786994
Estonia,BALTICS,74.684,12300,1324333
Ethiopia,AFRICA,64.772,700,74777981
Fiji,OCEANIA,70.17,5800,905949
Finland,EUROPE,80.855,27400,5231372
France,EUROPE,82.108,27600,60876136
French Guiana,LATIN AMERICA,77.582,8300,199509
French Polynesia,OCEANIA,76.685,17500,274578
Gabon,AFRICA,64.164,5500,1424906
"Gambia,The",AFRICA,59.257,1700,1641564
Georgia,C.W. OF IND. STATES,74.584,2500,4661473
Germany,EUROPE,81.062,27600,82422299
Ghana,AFRICA,61.453,2200,22409572
Greece,EUROPE,81.108,20000,10688058
Grenada,LATIN AMERICA,73.031,5000,89703
Guadeloupe,LATIN AMERICA,81.406,8000,452776
Guam,OCEANIA,79.384,21000,171019
Guatemala,LATIN AMERICA,72.723,4100,12293545
Guinea,AFRICA,56.618,2100,9690222
Guinea-Bissau,AFRICA,54.766,800,1442029
Guyana,LATIN AMERICA,66.6,4000,767245
Haiti,LATIN AMERICA,63.7,1600,8308504
Honduras,LATIN AMERICA,74.404,2600,7326496
Hong Kong,ASIA,83.734,28800,6940432
Hungary,EUROPE,74.889,13900,9981334
Iceland,EUROPE,82.342,30900,299388
India,ASIA,66.892,2900,1095351995
Indonesia,ASIA,71.242,3200,245452739
Iran,ASIA,74.649,7000,68688433
Iraq,ASIA,69.841,1500,26783383
Ireland,EUROPE,81.061,29600,4062235
Israel,ASIA,82.105,19800,6352117
Italy,EUROPE,82.687,26700,58133509
Jamaica,LATIN AMERICA,73.837,3900,2758124
Japan,ASIA,83.897,28200,127463611
Jordan,ASIA,74.16,4300,5906760
Kazakhstan,ASIA,66.83,6300,15233244
Kenya,AFRICA,62.585,1000,34707817
Kiribati,OCEANIA,69.514,800,105432
"Korea North",ASIA,70.553,1300,23113019
"Korea South",ASIA,82.013,17800,48846823
Kuwait,ASIA,74.501,19000,2418393
Kyrgyzstan,ASIA,67.846,1600,5213898
Laos,ASIA,69.177,1700,6368481
Latvia,BALTICS,72.369,10200,2274735
Lebanon,ASIA,80.595,4800,3874050
Lesotho,AFRICA,50.08,3000,2022331
Liberia,AFRICA,61.225,1000,3042004
Libya,AFRICA,75.719,6400,5900754
Lithuania,BALTICS,72.428,11400,3585906
Luxembourg,EUROPE,80.887,55100,474413
Macau,ASIA,80.819,19400,453125
