Time,I-495,I-90,I-93,I-95,Route 25,Route 3,Route 6,Route 9
2016-05-07 02:24:00 AM,63.7,70.1,66.2,28.8,62.3,69.2,55.7,61.7
2016-05-07 02:25:00 AM,63.7,70.1,66.2,29,62.4,69.2,55.7,62.3
2016-05-07 02:26:00 AM,63.7,70.1,66.2,29,62.3,68.5,55.7,62.5
2016-05-07 02:27:00 AM,63.7,70.1,66.7,29,62.2,68.5,55.7,62.6
2016-05-07 02:28:00 AM,63.7,70.1,66.7,29,62.3,68.5,55.7,62.6
2016-05-07 02:29:00 AM,63.7,70.1,66.7,29,62.3,68.5,55.7,62.4
2016-05-07 02:30:00 AM,63.7,70.1,66.6,29,62.3,68.5,55.7,62.3
2016-05-07 02:31:00 AM,63.7,70.1,66.7,29,62.3,68.5,55.7,62.5
2016-05-07 02:31:59 AM,63.7,70.1,66.7,29,62.1,67.8,55.7,62.5
2016-05-07 02:33:00 AM,63.7,70.5,66.7,29,62,66.6,55.7,62.9
